gene	family	frequency									
TELO2	TTT complex	1									
TTLL12	Tubulin tyrosine ligase family	1									
TUBA1C	Tubulins	2									
TUBG1	Tubulins	2									
SND1	Tudor domain containing	2									
SMNDC1	Tudor domain containing	2									
PRPF19	U-box domain containing	3									
UBE4B	U-box domain containing	3									
UBE4A	U-box domain containing	3									
UBQLN2	Ubiquilin family	1									
UCHL3	Ubiquitin C-terminal hydrolases	1									
UBE2J1	Ubiquitin conjugating enzymes E2	9									
UBE2C	Ubiquitin conjugating enzymes E2	9									
UBE2M	Ubiquitin conjugating enzymes E2	9									
UBE2L3	Ubiquitin conjugating enzymes E2	9									
UBE2N	Ubiquitin conjugating enzymes E2	9									
UBE2D3	Ubiquitin conjugating enzymes E2	9									
UBE2I	Ubiquitin conjugating enzymes E2	9									
UBE2K	Ubiquitin conjugating enzymes E2	9									
UBE2G2	Ubiquitin conjugating enzymes E2	9									
UBA7	Ubiquitin like modifier activating enzymes	5									
SAE1	Ubiquitin like modifier activating enzymes	5									
UBA6	Ubiquitin like modifier activating enzymes	5									
UBA3	Ubiquitin like modifier activating enzymes	5									
UBA5	Ubiquitin like modifier activating enzymes	5									
UBR1	Ubiquitin protein ligase E3 component n-recognins	2									
UBR2	Ubiquitin protein ligase E3 component n-recognins	2									
USP7	Ubiquitin specific peptidases	5									
USP34	Ubiquitin specific peptidases	5									
USP5	Ubiquitin specific peptidases	5									
USP9X	Ubiquitin specific peptidases	5									
USP8	Ubiquitin specific peptidases	5									
UBXN1	UBX domain containing	4									
FAF2	UBX domain containing	4									
UBXN7	UBX domain containing	4									
UBXN4	UBX domain containing	4									
ZNFX1	UPF1 like RNA helicases	4									
SETX	UPF1 like RNA helicases	4									
UPF1	UPF1 like RNA helicases	4									
AQR	UPF1 like RNA helicases	4									
WDR36	UTPB complex	2									
WDR3	UTPB complex	2									
HAVCR2	V-set domain containing	1									
ATP6V0D1	V-type ATPases	5									
ATP6V1D	V-type ATPases	5									
ATP6V1A	V-type ATPases	5									
ATP6V1G1	V-type ATPases	5									
ATP6V1F	V-type ATPases	5									
VAMP4	Vesicle associated membrane proteins	2									
VAMP3	Vesicle associated membrane proteins	2									
VDAC2	Voltage dependent anion channels	2									
VDAC3	Voltage dependent anion channels	2									
RABGEF1	VPS9 domain containing	1									
RACK1	WD repeat domain containing	35									
WDR70	WD repeat domain containing	35									
SEC31A	WD repeat domain containing	35									
NLE1	WD repeat domain containing	35									
WDR92	WD repeat domain containing	35									
SNRNP40	WD repeat domain containing	35									
WDR55	WD repeat domain containing	35									
WDHD1	WD repeat domain containing	35									
TBL1XR1	WD repeat domain containing	35									
BUB3	WD repeat domain containing	35									
WDR82	WD repeat domain containing	35									
PRPF4	WD repeat domain containing	35									
PAK1IP1	WD repeat domain containing	35									
WDR12	WD repeat domain containing	35									
WDR77	WD repeat domain containing	35									
HERC1	WD repeat domain containing	35									
DMXL1	WD repeat domain containing	35									
RBBP5	WD repeat domain containing	35									
CSTF1	WD repeat domain containing	35									
TLE4	WD repeat domain containing	35									
EML3	WD repeat domain containing	35									
PIK3R4	WD repeat domain containing	35									
DMXL2	WD repeat domain containing	35									
AAMP	WD repeat domain containing	35									
COPB2	WD repeat domain containing	35									
SMU1	WD repeat domain containing	35									
WDR33	WD repeat domain containing	35									
WDR45B	WD repeat domain containing	35									
STRAP	WD repeat domain containing	35									
DPH7	WD repeat domain containing	35									
WDFY1	WD repeat domain containing	35									
WDR6	WD repeat domain containing	35									
WDR48	WD repeat domain containing	35									
STXBP5	WD repeat domain containing	35									
WDR37	WD repeat domain containing	35									
WASF2	Wiskott-Aldrich Syndrome protein family	2									
WAS	Wiskott-Aldrich Syndrome protein family	2									
FTSJ1	X-linked mental retardation	2									
UPF3B	X-linked mental retardation	2									
YBX1	Y box binding proteins	1									
PRAF2	YIP family	2									
ARL6IP5	YIP family	2									
YIPF3	Yip1 domain containing	1									
YPEL5	Yippee like family	1									
ZHX2	ZF class homeoboxes and pseudogenes	2									
ZFHX3	ZF class homeoboxes and pseudogenes	2									
NPLOC4	Zinc fingers	2									
LYAR	Zinc fingers	2									
ZNF330	Zinc fingers C2H2-type	9									
SCAPER	Zinc fingers C2H2-type	9									
ZNF207	Zinc fingers C2H2-type	9									
CHAMP1	Zinc fingers C2H2-type	9									
ZFPM1	Zinc fingers C2H2-type	9									
ZKSCAN3	Zinc fingers C2H2-type	9									
ZNF451	Zinc fingers C2H2-type	9									
ZNF598	Zinc fingers C2H2-type	9									
IKZF2	Zinc fingers C2H2-type	9									
ZC3H18	Zinc fingers CCCH-type	5									
MBNL1	Zinc fingers CCCH-type	5									
ZC3H4	Zinc fingers CCCH-type	5									
ZC3H15	Zinc fingers CCCH-type	5									
ZC3H13	Zinc fingers CCCH-type	5									
SF1	Zinc fingers CCHC-type	2									
ZCCHC17	Zinc fingers CCHC-type	2									
DNMT1	Zinc fingers CXXC-type	1									
ZFYVE1	Zinc fingers FYVE-type	3									
PIKFYVE	Zinc fingers FYVE-type	3									
RUFY1	Zinc fingers FYVE-type	3									
TTF2	Zinc fingers GRF-type	1									
PIAS1	Zinc fingers MIZ-type	2									
PIAS2	Zinc fingers MIZ-type	2									
ZMYM4	Zinc fingers MYM-type	1									
SMYD5	Zinc fingers MYND-type	1									
YAF2	Zinc fingers RANBP2-type 	2									
TAB2	Zinc fingers RANBP2-type 	2									
UTRN	Zinc fingers ZZ-type	2									
SQSTM1	Zinc fingers ZZ-type	2									
